SquareFootage,NumBathrooms,NumBedrooms,BackyardSpace,CrimeRate,SchoolRating,AgeOfHome,DistanceToCityCenter,EmploymentRate,PropertyTaxRate,RenovationQuality,LocalAmenities,TransportAccess,IsLuxury
891.51,2.524740113,5,198.59,1.57,7.53,51.09,27.83,97.3,1.26,3.85,6.31,7.28,1
776.67,2.645258722,4,152.43,68.04,6.81,101.03,41.73,91.15,2.16,4.4,6.68,10.0,0
688.57,2.301094907,3,711.6,5.13,6.85,91.73,5.44,90.46,1.76,2.42,4.67,6.83,0
550.0,3.762071405,1,307.61,10.8,5.54,93.42,23.02,95.98,1.02,2.18,1.37,5.02,0
1269.76,4.197600663,3,1009.57,57.27,6.62,42.51,4.98,96.55,0.89,4.73,4.26,5.63,0
820.88,3.547604471,2,116.81,19.75,7.46,10.35,4.79,97.95,1.7,6.13,7.26,7.41,1
1551.59,1.871758319,3,221.29,16.56,9.54,87.02,20.37,99.46,1.77,6.76,5.55,5.96,1
683.04,1.0,2,245.15,23.32,3.77,32.35,15.52,90.57,2.02,2.25,5.6,7.04,0
550.0,1.0,2,272.42,8.17,9.28,24.19,22.25,99.9,1.06,7.58,4.87,4.71,0
550.0,1.614249279,3,21.78,53.89,5.09,36.83,26.37,86.5,1.11,4.34,1.85,0.59,0
1256.37,1.918574239,1,659.19,26.85,2.7,85.62,32.84,88.46,2.35,2.86,5.92,3.47,0
1612.52,2.64965124,4,1159.82,38.87,9.54,43.81,14.01,83.17,1.54,5.4,7.92,2.55,1
1101.4,4.054415105,3,234.64,21.31,9.28,14.27,16.85,99.9,1.59,7.39,7.68,7.41,1
1200.48,1.478432579,4,626.2,25.45,10.0,51.72,6.59,90.58,1.38,8.71,6.49,6.46,1
929.42,4.30010942,4,579.92,31.51,9.43,100.87,9.36,97.89,1.43,9.0,10.0,7.33,1
550.0,3.069548929,4,875.37,8.56,8.08,45.64,27.66,84.63,1.61,6.23,10.0,8.69,1
964.97,1.54603265,3,392.99,33.85,7.31,9.51,8.0,98.53,1.35,5.1,8.76,3.81,1
1478.67,3.079979329,4,155.35,62.68,8.26,20.5,1.38,91.03,1.25,7.07,10.0,8.61,1
1539.94,2.830258839,3,252.26,38.41,7.41,31.34,39.67,95.55,1.66,6.83,5.13,5.23,1
550.0,1.707638175,4,609.95,28.31,6.26,21.72,14.53,98.91,1.43,2.39,1.28,4.89,0
817.86,1.0,3,303.63,38.3,6.26,38.8,34.85,88.44,1.54,4.02,5.09,5.31,0
550.0,1.719879074,1,177.15,66.35,5.58,43.84,9.31,86.44,0.96,0.68,3.91,7.53,0
550.0,4.72441073,5,318.62,68.03,6.2,65.19,27.93,87.57,2.06,4.18,8.08,10.0,1
1605.01,1.0,2,389.2,11.83,6.59,70.95,12.36,95.43,1.7,5.99,4.48,6.53,0
1523.17,2.209791231,4,1003.37,57.21,7.65,90.32,11.07,98.38,1.39,5.91,1.47,3.17,1
824.59,1.983334829,3,120.83,24.56,6.82,87.15,9.38,87.69,2.31,4.3,5.1,7.03,0
650.11,2.29499134,3,289.51,54.51,6.24,59.94,10.25,91.52,1.73,5.48,5.98,8.25,0
1782.66,1.387894684,3,531.74,40.28,3.65,31.29,32.99,86.93,2.2,1.57,7.19,5.58,1
550.0,3.977026028,5,679.11,9.27,9.5,35.55,29.66,94.17,1.97,4.63,5.94,7.8,1
1471.77,1.455270599,2,738.03,27.97,5.13,9.43,5.05,99.9,1.81,4.84,10.0,6.47,1
1394.47,3.616210489,3,143.41,45.53,6.78,15.34,1.5,96.11,1.26,5.45,8.41,8.97,1
1031.45,2.830530132,5,355.85,25.33,6.85,44.06,11.57,95.96,2.28,3.46,10.0,9.02,1
550.0,1.796173542,2,492.41,8.63,7.28,96.15,24.97,93.85,2.26,2.01,4.59,5.39,0
1402.17,1.722193844,2,715.93,10.71,8.02,67.77,27.66,99.9,1.88,6.12,6.4,8.05,1
1417.48,1.69118823,2,617.68,49.7,4.74,52.3,3.84,89.81,1.87,2.61,3.77,1.52,1
1089.88,2.218111901,3,609.84,29.62,7.1,53.27,0.91,97.11,1.81,5.34,5.99,7.09,1
740.88,1.0,1,463.34,17.79,5.04,13.34,33.31,85.77,1.82,2.96,4.2,2.18,0
891.59,1.936383662,2,213.04,0.3,5.8,8.43,11.99,99.9,1.25,6.12,9.17,5.86,1
1403.85,2.131656444,3,48.21,22.13,10.0,9.46,6.24,99.9,0.95,8.27,6.0,8.68,1
1517.74,1.93668056,4,0.39,13.21,9.11,33.58,13.73,99.77,1.02,10.0,5.12,3.21,1
550.0,1.0,2,547.36,30.58,4.14,39.77,29.33,97.35,2.48,3.79,7.99,4.21,0
1206.11,1.0,3,433.88,40.39,7.68,35.12,8.83,94.14,1.21,3.89,3.26,6.49,1
708.12,1.0,4,427.97,41.58,8.02,34.8,6.29,99.9,1.72,7.63,6.11,6.12,1
889.66,3.073208589,2,122.05,17.91,6.41,37.31,29.56,99.79,1.62,2.5,8.72,4.81,0
682.2,1.0,3,916.07,7.85,6.3,29.74,15.17,86.76,0.92,1.73,2.94,3.79,1
1195.3,3.301027482,3,340.34,11.28,10.0,19.06,1.87,94.23,1.53,5.98,9.55,5.18,0
835.07,1.249329022,2,545.52,34.01,4.69,4.37,9.25,99.9,1.52,4.35,5.24,7.39,0
1431.8,1.0,4,487.22,56.36,7.24,38.63,12.03,94.78,0.32,5.21,7.34,5.21,0
1887.43,2.436197581,1,272.29,33.59,7.72,26.8,5.21,99.9,0.72,5.94,7.46,7.71,0
2076.37,3.244473908,4,14.98,27.11,7.4,67.45,1.32,92.52,0.62,7.4,7.34,6.74,1
550.0,2.763766948,3,214.99,30.25,4.92,93.89,1.79,99.9,1.51,5.71,2.42,3.64,0
1053.33,2.819525954,2,377.9,4.18,7.5,71.5,18.22,89.41,1.64,5.68,6.44,7.1,1
1061.82,3.234991459,4,430.98,16.42,9.66,20.78,1.4,90.93,2.35,7.13,7.17,3.77,1
1070.82,1.554854041,3,914.35,39.25,4.52,63.35,45.25,94.48,0.9,3.26,5.77,5.6,0
550.0,3.533675222,4,671.69,30.57,7.13,64.78,33.19,86.72,2.27,3.34,3.53,3.94,1
550.0,1.200385725,3,610.78,36.83,7.51,57.32,20.71,93.03,0.82,2.67,4.12,4.37,0
839.48,2.157531611,4,279.98,19.65,5.5,96.64,48.28,89.24,0.56,4.72,9.42,7.57,1
652.13,2.108468172,2,428.53,34.3,7.96,89.84,20.91,95.29,1.35,6.4,5.18,6.83,0
1389.37,2.153101064,3,648.75,84.35,8.12,83.67,14.19,91.07,1.12,8.61,7.23,5.31,1
601.34,2.332285227,3,918.91,57.11,7.2,66.24,30.2,91.39,1.06,6.83,3.86,5.69,0
550.0,1.889751455,4,185.82,33.44,5.68,43.79,13.87,92.55,0.75,3.96,1.83,6.73,0
550.0,1.586888068,2,677.43,48.18,3.83,80.47,32.35,91.12,1.59,2.23,2.08,3.05,0
1522.53,2.090728194,2,470.29,7.08,5.87,28.2,11.06,93.24,1.74,2.49,2.54,3.7,1
550.0,1.0,2,494.49,20.81,4.92,72.23,26.47,87.61,1.95,0.36,8.22,5.55,0
869.73,1.0,2,211.54,31.82,6.3,59.5,3.23,96.01,1.76,3.62,5.99,5.71,0
550.0,2.83115968,3,947.97,11.06,6.27,32.93,6.57,88.19,1.83,4.73,7.25,4.9,0
1358.27,1.585226027,3,279.96,24.99,9.13,74.8,33.43,86.09,1.74,5.59,2.56,7.39,1
754.7,1.834227121,1,411.51,20.47,7.34,24.71,3.09,89.98,2.24,4.36,7.14,5.85,0
1367.63,2.772316639,2,44.28,41.83,7.59,18.4,7.33,94.34,1.12,7.64,0.56,3.59,0
1647.31,1.322820383,4,49.35,6.45,7.18,7.92,12.83,93.57,1.03,4.19,10.0,7.68,1
550.0,2.34173681,3,555.05,10.91,4.68,53.43,7.98,99.85,1.47,2.79,5.39,4.83,0
1732.87,2.089676032,3,397.48,58.97,8.36,5.7,18.48,89.32,1.43,5.06,7.36,8.57,1
904.54,1.0,1,8.18,5.45,7.75,38.78,47.52,90.29,1.93,3.95,4.59,5.64,1
1183.0,2.195319416,4,332.92,40.62,7.72,3.09,22.02,87.5,0.47,7.36,8.86,6.65,1
1787.89,3.736882889,4,800.38,21.09,10.0,50.93,10.82,95.8,2.03,7.98,9.58,6.02,1
869.91,1.0,4,99.09,7.45,8.59,60.35,28.28,98.79,1.19,3.34,6.21,6.34,1
1299.01,1.0,3,539.86,26.34,6.35,74.15,41.07,94.82,1.76,2.41,0.88,3.11,0
804.42,1.731522354,3,66.63,48.71,8.31,32.33,14.28,97.59,1.15,6.19,8.29,5.06,1
1133.97,2.366869759,2,498.38,12.98,5.94,16.14,10.42,92.23,1.68,4.88,5.39,4.21,1
1169.91,1.0,5,608.68,9.1,10.0,54.9,1.3,89.71,1.93,3.97,4.81,4.32,1
815.38,1.784138127,2,640.17,19.55,4.32,83.49,0.16,91.97,1.49,3.6,4.09,3.96,0
707.14,2.5238271,4,424.38,0.62,8.07,7.86,1.78,93.56,1.55,4.71,6.01,7.83,1
961.63,3.505338982,2,328.41,51.92,7.8,5.27,9.7,90.8,1.39,3.21,6.7,3.02,0
558.97,1.139538519,2,180.3,17.34,6.86,29.19,24.26,93.19,1.71,2.93,3.14,6.84,0
622.83,1.0,3,135.44,63.91,6.2,86.7,23.43,93.01,1.24,2.39,0.13,0.8,0
1505.14,1.748130616,3,385.07,36.62,7.67,60.84,27.63,99.9,1.87,7.87,10.0,10.0,0
863.07,1.869316883,2,589.11,27.63,5.02,13.01,40.23,99.87,1.59,3.29,3.28,7.13,0
691.05,1.0,5,1185.71,39.52,7.33,21.72,14.61,87.69,0.87,4.76,6.55,5.24,1
1403.29,2.60421646,5,399.15,16.39,7.81,11.23,2.58,99.34,2.08,8.63,6.18,7.78,1
692.84,1.855488365,2,248.6,39.27,5.63,26.82,31.67,95.32,1.34,2.75,9.22,6.47,0
1434.98,1.0,3,535.8,26.86,7.24,39.91,23.04,91.12,1.0,3.99,1.74,0.76,0
1292.55,3.710544345,3,692.31,24.5,7.93,16.89,1.19,92.77,0.47,5.59,2.02,4.88,1
860.91,3.442318884,3,548.63,12.15,8.3,36.41,12.06,98.44,0.95,4.78,7.12,9.35,1
550.0,1.389053349,4,849.95,18.98,5.89,82.6,39.29,99.9,2.12,1.5,6.04,6.75,1
577.84,1.0,2,173.64,57.77,6.81,12.64,3.54,98.07,1.42,3.71,2.05,5.85,0
2129.37,2.56223305,2,686.11,20.33,7.8,48.01,17.55,96.41,1.3,6.5,4.05,6.02,1
550.0,3.63608268,3,656.65,20.3,6.69,54.93,18.14,95.13,1.41,6.02,5.82,7.12,0
872.51,1.546485948,1,763.07,50.3,5.26,57.23,20.9,96.13,1.92,2.15,4.51,6.42,0
1267.94,2.557282278,5,791.68,31.16,8.24,60.93,15.49,94.4,1.29,7.26,9.28,7.15,1
1460.2,1.195630783,2,606.25,57.54,6.4,56.09,26.73,88.29,1.95,3.18,9.05,5.96,1
550.0,1.969267772,4,1018.14,17.88,6.77,7.94,13.92,96.73,1.17,7.05,4.38,6.98,1
810.55,1.0,3,480.0,64.28,4.68,19.0,3.55,89.87,0.79,2.73,6.57,5.21,0
1406.02,2.28761671,2,401.06,54.95,6.71,10.78,43.94,92.81,1.72,5.51,7.75,7.31,1
1300.81,3.175703887,4,1173.01,3.26,9.01,121.61,23.36,90.91,1.75,5.51,10.0,10.0,1
550.0,2.733007971,3,431.09,8.16,7.55,109.32,17.29,99.9,1.99,4.28,5.67,5.6,1
550.0,1.21416602,3,1007.36,42.32,5.87,1.42,12.24,93.81,1.09,1.99,8.4,7.29,0
2157.15,1.012467163,3,1365.4,8.59,5.32,4.12,2.39,87.44,0.82,3.78,4.62,4.21,1
796.96,1.765963718,1,338.71,35.29,7.04,50.9,2.72,88.22,0.94,1.52,3.06,2.04,0
550.0,1.0,2,518.19,52.16,5.43,29.55,4.55,91.26,1.58,0.65,8.09,4.62,0
895.52,3.5835609,4,424.22,38.5,8.74,50.65,3.98,95.16,1.85,6.51,7.37,7.98,1
764.78,2.910474203,2,243.89,55.28,5.93,6.86,15.07,93.93,1.27,4.21,5.89,2.04,0
1313.22,3.657003281,3,975.73,18.87,8.23,57.42,27.31,87.46,1.66,6.27,9.39,5.72,0
1209.09,3.52989674,5,298.47,36.1,6.71,66.99,21.57,98.12,1.31,5.06,8.79,4.27,1
550.0,1.982628969,4,161.86,12.7,4.69,93.85,25.32,89.18,1.5,3.69,2.72,4.19,1
550.0,1.0,2,357.1,8.42,3.21,66.02,32.4,93.43,1.33,1.58,2.02,2.13,0
1269.8,2.921633127,2,226.61,55.91,6.73,65.34,17.95,90.82,1.2,2.77,5.31,5.45,0
550.0,2.020616461,2,111.62,35.94,6.18,54.93,4.39,89.65,1.3,1.87,6.37,7.9,0
970.23,1.932693583,1,151.53,24.83,2.92,16.5,5.09,88.94,2.26,4.87,5.61,6.86,0
1233.61,1.0,3,871.0,28.97,7.37,60.94,40.73,94.55,1.03,2.86,2.21,6.58,0
550.0,3.49645455,4,1103.13,33.7,5.31,39.97,1.25,94.73,1.98,2.99,9.72,6.06,1
644.51,1.84726518,1,21.86,7.0,5.33,4.62,30.3,91.74,2.56,3.29,0.0,5.07,1
553.63,1.615838061,2,417.33,12.56,4.58,58.29,18.55,94.26,1.24,0.24,8.72,3.26,0
1532.61,2.363318598,3,611.52,41.13,5.54,75.26,27.41,92.04,1.44,4.91,6.91,5.94,1
660.69,1.997577782,3,735.01,42.55,10.0,82.2,12.11,89.22,2.26,7.05,5.76,4.89,1
1310.8,1.571917714,2,311.28,36.98,6.41,69.72,14.24,91.01,1.91,4.36,6.59,6.18,0
1423.83,2.126659257,1,62.69,35.01,6.37,64.17,28.83,97.52,1.37,3.42,4.43,7.05,0
1124.01,3.602764178,3,275.75,4.15,9.14,62.0,5.34,90.65,2.12,6.29,7.2,6.03,1
1725.96,1.946801203,4,247.68,74.01,4.77,45.07,19.59,98.65,2.03,4.67,0.47,4.34,1
795.54,1.559321969,4,446.84,27.53,9.54,48.88,0.76,88.26,1.12,6.24,4.31,7.24,1
1664.02,2.690597455,2,447.75,10.45,6.93,20.57,16.33,99.9,1.91,3.88,5.56,3.06,1
1196.66,1.0,3,803.69,14.05,6.1,31.45,17.73,98.48,2.07,4.82,4.3,6.03,1
1354.92,2.777247179,2,809.67,22.32,4.64,34.37,4.67,95.18,2.34,5.09,4.09,2.82,0
550.0,2.153863396,1,529.29,54.31,3.28,51.85,16.28,86.78,2.16,1.1,3.24,4.44,0
891.35,2.492217626,2,13.67,47.95,8.68,96.4,23.18,92.97,1.58,5.61,2.73,7.59,0
550.0,1.0,3,811.06,46.9,5.38,16.45,21.91,97.24,1.09,4.94,7.03,4.62,0
1286.44,1.817333092,3,78.37,0.97,7.02,115.1,34.61,93.14,2.19,4.63,9.96,6.0,1
692.3,1.0,3,475.8,7.83,6.69,73.18,9.76,82.46,2.02,5.84,0.53,7.08,0
550.0,1.103585987,3,677.67,40.06,7.08,1.59,2.06,94.5,2.02,3.4,8.06,9.38,0
550.0,1.21683801,3,552.97,34.33,3.88,108.02,20.75,89.01,2.01,0.19,5.35,7.92,0
1350.74,3.122505106,1,349.71,11.22,7.18,65.13,38.48,99.9,0.36,5.35,10.0,6.91,1
550.0,1.882941253,2,125.4,31.75,6.64,59.81,26.48,88.72,0.73,3.94,5.08,8.21,0
692.45,1.699053577,3,733.19,6.93,6.78,13.57,6.11,99.9,1.37,2.02,5.63,5.98,0
772.84,3.030843249,2,229.62,25.83,8.26,28.95,3.95,95.98,1.29,5.02,8.31,10.0,0
550.0,2.594589674,5,338.63,14.47,7.35,16.18,4.39,98.58,0.72,4.26,5.41,4.94,1
1639.62,2.437237309,2,3.19,8.8,6.85,30.37,20.95,97.57,0.97,4.34,8.96,4.94,1
550.0,1.444868191,4,578.04,34.49,4.48,1.75,16.18,96.06,1.79,3.9,1.95,1.53,1
550.0,3.238557123,2,431.24,20.6,4.93,44.4,16.91,91.98,1.29,4.48,4.76,7.01,1
1472.5,1.0,3,738.15,36.89,5.78,22.44,40.14,85.91,0.43,6.6,8.06,8.42,0
1115.03,2.519953769,3,662.48,34.01,5.75,10.23,6.12,99.9,2.2,4.02,3.79,5.57,0
1313.83,2.091742758,4,607.12,44.94,4.74,58.41,15.0,99.17,0.85,5.81,5.17,6.72,0
702.7,1.0,2,575.39,49.19,6.45,67.05,16.64,88.14,2.17,4.12,3.45,1.16,0
1423.57,3.7360299,6,249.96,21.33,8.87,54.89,11.77,94.53,1.39,9.68,4.03,5.7,1
774.52,1.324895934,3,225.48,60.59,5.99,17.55,21.27,99.9,2.83,3.5,10.0,7.08,0
550.0,3.542564482,4,818.08,1.83,6.88,109.91,25.82,98.78,1.93,7.89,6.72,8.0,1
1257.21,2.836704563,4,808.46,26.25,9.78,46.72,19.11,97.06,0.45,9.03,9.49,8.11,1
550.0,1.742015466,3,212.42,37.86,4.02,35.47,49.28,87.35,2.41,0.35,7.22,5.86,1
600.38,1.0,3,104.02,28.65,7.23,12.59,1.19,93.12,1.26,3.11,5.67,5.56,1
550.0,1.412519381,3,192.55,38.99,4.45,4.14,14.66,89.59,2.05,2.88,1.05,2.62,0
550.0,1.974097959,2,707.67,31.62,6.79,44.07,7.93,95.83,2.2,7.25,4.4,5.43,0
989.32,1.189819741,4,525.88,21.41,7.99,50.54,30.11,89.56,1.55,3.33,0.99,0.01,0
950.3,1.983214114,3,668.11,5.14,4.39,103.62,15.61,97.38,2.65,2.84,3.37,4.55,0
550.0,1.0,2,422.75,43.77,4.04,32.67,35.18,95.9,1.85,2.25,7.32,3.08,0
1565.14,1.663859034,4,888.22,32.79,6.22,45.14,10.23,90.69,1.18,8.1,5.27,3.97,1
885.62,1.226401221,3,246.89,5.33,8.79,32.29,28.99,94.46,2.34,4.28,4.7,4.39,0
1946.29,1.0,4,1042.52,48.61,7.79,68.75,19.94,99.9,0.67,7.37,9.65,7.17,1
1184.13,3.210561138,2,569.38,20.35,8.69,24.52,5.09,86.31,1.16,4.82,10.0,9.72,0
1207.93,1.0,4,449.39,3.65,7.59,54.12,16.04,94.95,1.66,4.44,5.38,4.89,1
550.0,2.457996029,2,105.57,14.14,6.58,32.92,1.83,91.02,0.89,4.18,10.0,7.32,0
670.93,2.094052743,4,1133.11,24.92,9.28,0.98,18.1,96.2,0.97,6.21,7.43,7.45,1
550.0,3.863504417,4,483.13,53.63,8.22,1.57,1.58,98.25,1.99,7.9,10.0,4.45,0
1356.47,2.446400298,4,748.5,32.25,8.38,17.03,1.45,93.67,1.54,6.04,8.61,8.25,1
807.19,1.848963249,2,81.26,24.9,4.73,32.7,3.35,99.9,1.45,3.36,7.11,8.68,0
888.38,1.890474811,1,594.27,43.99,3.65,32.41,33.17,83.93,2.6,0.42,0.1,3.57,0
1082.01,2.886157968,3,250.14,21.63,6.59,36.72,7.76,95.82,0.36,7.41,10.0,7.08,0
1249.1,2.179147945,2,63.7,43.08,4.39,69.21,23.92,98.73,1.66,2.97,4.67,4.67,1
1458.01,2.12322477,3,360.62,42.61,10.0,94.43,3.71,99.9,1.83,6.59,10.0,8.55,1
592.62,1.0,3,584.6,30.37,4.46,70.66,8.48,99.9,1.46,4.14,5.13,5.0,0
550.0,1.12491236,4,786.11,52.07,7.9,13.61,14.76,86.81,1.41,3.17,5.35,4.28,0
1701.92,3.816029315,4,700.3,27.23,9.38,32.86,9.13,98.33,1.59,6.16,7.5,7.61,1
1766.78,3.986095008,3,495.96,53.11,8.88,14.44,30.07,97.63,0.94,3.73,7.92,6.85,0
816.02,2.060835151,1,454.62,36.51,6.85,1.52,25.91,96.23,0.99,3.74,4.25,2.37,0
1765.92,3.732545313,1,903.8,19.59,5.04,34.07,19.04,99.9,1.37,7.67,2.28,6.67,0
799.86,1.377026893,2,405.79,12.91,8.53,79.72,5.26,99.9,1.61,3.39,8.07,5.57,0
1269.88,1.86315282,4,398.28,37.55,8.86,21.65,4.05,90.08,0.94,6.57,8.5,5.32,1
2496.76,3.742168642,4,332.86,46.97,7.31,38.21,26.62,97.85,1.82,7.01,3.85,4.77,1
1179.79,3.019621118,2,348.42,19.98,9.29,57.55,0.71,92.63,0.93,6.95,3.44,5.61,1
550.0,2.115308415,3,599.17,19.77,7.45,8.88,6.23,99.39,1.26,3.4,9.86,7.84,0
902.27,2.809532205,5,745.2,83.45,8.73,10.92,20.64,84.19,1.99,4.81,7.74,4.24,1
550.0,1.193013284,3,803.59,27.49,7.55,7.29,12.97,95.66,1.25,6.15,9.79,8.18,0
550.0,2.653347736,3,1023.45,3.96,7.58,62.71,14.45,87.38,0.98,6.85,6.33,3.8,1
652.06,1.369922378,2,468.82,14.55,7.35,76.46,26.9,97.01,0.99,6.45,4.54,4.49,0
901.11,2.018850902,4,914.75,17.68,9.67,76.07,12.77,99.9,0.91,6.81,4.8,7.02,1
1261.06,1.0,3,590.21,40.84,5.51,23.85,0.14,88.63,1.17,3.95,5.6,4.99,0
550.0,1.241808767,3,723.03,59.32,6.53,29.92,54.64,90.88,2.2,2.37,5.33,6.51,0
1327.08,1.808288819,1,84.94,62.88,4.8,77.01,20.69,81.44,1.29,4.01,3.29,1.73,0
1454.39,3.498933636,3,25.06,22.2,7.65,78.07,24.44,93.67,2.11,2.88,0.26,2.22,1
550.0,1.174417485,1,134.22,5.91,3.83,15.1,45.95,99.9,1.87,1.27,6.33,0.73,1
1245.13,3.67430765,3,169.52,57.22,10.0,61.1,24.2,95.94,2.68,5.4,2.86,2.98,1
779.4,1.299746027,5,416.12,40.4,6.23,81.69,21.52,86.53,0.73,3.08,7.1,4.52,1
550.0,2.314760692,4,614.44,19.23,5.89,58.42,22.13,96.36,1.87,1.25,6.06,10.0,0
550.0,2.04827679,2,546.45,27.57,5.29,45.95,17.76,99.1,2.07,3.44,2.31,5.12,0
1553.57,3.988376742,4,844.06,18.8,10.0,26.07,24.4,95.73,1.17,8.8,6.66,5.19,1
710.61,1.286837554,4,682.14,25.3,7.79,5.36,16.28,94.27,1.9,5.49,0.67,5.93,1
1228.38,2.657160333,3,507.16,27.96,4.99,44.5,1.51,97.53,1.91,3.79,0.17,7.71,0
992.53,2.595062141,3,505.11,67.92,6.29,56.51,12.5,94.64,2.05,3.53,6.53,5.39,1
1735.95,4.189773099,3,1103.33,7.99,7.75,69.93,19.99,91.61,1.2,5.3,3.6,4.41,1
2166.0,1.537854434,3,861.6,53.96,10.0,3.33,26.72,96.53,1.58,7.71,8.35,7.72,0
1198.14,1.748330239,1,137.93,6.15,6.93,54.8,5.9,94.9,1.65,5.89,7.44,7.75,0
632.37,2.315761564,3,804.15,38.96,6.82,19.22,22.32,99.9,1.0,3.03,3.23,4.84,0
715.39,1.224027552,3,398.03,59.49,7.81,57.11,51.46,99.9,1.54,3.47,7.6,8.9,1
1065.38,1.04561508,1,439.04,18.38,6.05,72.06,13.93,97.28,2.27,5.92,4.86,8.08,0
550.0,1.238066639,1,88.46,39.1,3.42,37.71,37.43,85.48,1.6,2.65,5.29,6.5,0
1572.46,1.122733271,3,792.09,30.2,4.22,9.53,22.68,95.51,1.57,9.42,5.54,9.19,1
550.0,1.224303549,3,826.02,37.92,4.97,96.83,8.08,96.82,1.39,3.78,1.48,1.2,1
1507.28,2.916109062,4,766.22,1.82,6.27,32.77,27.53,98.84,1.75,6.0,6.25,6.44,1
1333.3,2.776923012,3,564.93,40.56,9.87,23.59,8.38,90.76,1.17,7.81,10.0,8.67,1
550.0,2.314482496,5,265.41,9.55,7.81,43.41,18.75,95.7,1.82,1.84,8.2,6.59,0
1056.4,2.551037108,2,474.16,44.32,5.34,97.05,27.43,93.99,1.32,5.81,9.35,4.95,0
1523.73,4.419368764,3,503.4,1.99,6.48,4.18,16.7,93.71,0.17,7.57,9.6,8.97,1
1145.69,1.856152547,4,838.22,37.55,7.69,85.09,20.07,89.15,0.68,10.0,7.96,9.81,1
550.0,2.626374098,3,593.96,35.67,8.86,61.09,3.93,98.79,1.69,3.48,7.53,8.47,0
993.92,1.992555891,2,215.54,21.52,5.29,14.32,21.83,97.64,1.46,2.58,4.52,5.44,0
590.26,2.134994742,4,327.18,2.54,7.58,23.48,16.7,97.15,1.16,4.43,3.25,8.56,1
1682.22,2.318905764,4,645.04,50.54,7.87,61.59,31.47,93.81,1.25,5.98,1.57,0.68,1
550.0,1.401532394,4,345.76,28.49,10.0,22.6,32.8,84.97,1.57,3.52,8.67,8.44,0
1732.38,1.0,2,432.37,25.88,4.79,58.8,33.94,96.77,1.83,3.46,2.6,7.86,1
550.0,1.943919579,4,1527.6,27.49,6.52,95.47,27.86,97.94,2.05,5.87,6.93,5.68,1
1259.57,1.797442992,2,703.53,27.75,5.95,27.51,6.05,96.27,1.92,5.94,5.7,6.21,0
615.55,1.457482659,4,286.22,41.23,6.94,43.96,11.08,96.66,2.08,4.35,8.13,3.24,0
666.6,1.0,1,186.59,68.88,6.52,7.62,36.98,89.53,1.61,1.16,1.74,2.89,0
1045.86,1.286067889,3,97.21,18.79,8.62,34.43,5.28,94.31,1.78,4.53,4.45,6.96,0
1741.57,2.015672342,2,668.65,69.17,2.9,2.75,7.36,89.24,0.53,4.92,6.53,7.05,1
1049.45,2.4941456,4,1036.44,59.32,7.12,63.59,5.22,98.08,1.79,7.17,8.43,5.69,1
550.0,1.0,3,488.87,45.5,3.4,111.9,27.78,99.64,1.95,2.51,4.46,3.61,0
1487.6,2.934959211,2,660.53,17.89,6.97,39.4,14.97,99.9,1.03,7.9,10.0,6.86,1
1325.57,2.663115352,3,793.98,2.07,9.06,51.99,24.83,99.9,1.63,7.06,5.73,3.93,0
550.0,1.141155107,2,316.35,24.44,4.36,3.09,28.08,99.88,1.48,1.76,6.14,8.09,0
1760.27,3.635891375,3,552.58,30.05,7.01,90.16,22.93,88.98,1.29,1.53,9.53,4.04,1
1215.8,1.0,3,140.13,44.02,7.66,75.45,20.89,98.2,1.14,5.94,7.7,4.8,0
550.0,2.563404223,4,396.22,51.98,7.59,44.52,24.35,91.26,0.57,7.28,6.26,4.75,1
1038.87,1.0,2,58.41,62.24,2.57,35.24,43.42,85.03,2.15,4.83,9.89,9.12,0
1258.21,1.714074971,2,186.08,29.21,6.51,59.26,18.27,88.44,1.68,2.58,4.89,5.3,0
627.24,3.888439517,3,1104.18,12.29,6.31,52.29,25.13,99.9,0.96,5.09,10.0,8.56,1
965.56,3.063549719,4,967.68,61.25,8.14,21.58,3.76,90.51,0.92,5.48,8.49,10.0,1
1001.18,2.867989655,4,568.49,12.01,7.51,65.49,17.42,88.88,1.06,6.21,2.83,5.58,1
631.66,2.132253527,5,956.19,39.19,6.93,54.69,22.84,99.9,1.91,10.0,4.31,8.73,1
937.22,1.40045717,2,221.18,10.91,3.43,23.88,9.65,84.52,1.31,2.02,6.44,7.83,0
1041.16,1.11935841,2,433.62,67.75,5.86,82.52,20.81,94.16,1.2,5.29,7.35,8.92,0
757.46,2.958187883,2,635.6,39.19,5.98,49.05,6.4,98.07,1.63,6.05,0.29,6.28,0
723.81,2.12850184,5,240.35,39.84,10.0,58.92,14.58,95.86,1.49,4.97,10.0,7.67,1
1189.28,1.646751853,4,189.52,21.64,9.03,49.63,5.55,97.73,2.48,6.36,10.0,8.66,1
822.69,2.370750446,4,536.32,24.25,6.5,91.74,16.02,91.84,1.99,4.37,4.94,3.83,0
852.09,1.0,3,254.81,50.24,4.92,38.82,21.31,89.17,2.38,3.09,5.81,5.73,0
725.59,1.0,3,927.04,10.32,7.27,4.09,37.36,92.48,2.59,3.25,3.9,6.35,0
1667.96,2.927339375,4,344.67,6.06,10.0,21.56,0.79,94.47,1.63,8.27,6.78,7.38,1
799.83,4.195181141,6,316.67,22.93,10.0,69.22,23.66,95.93,1.78,9.62,4.82,7.55,1
